ID,title,currency,price,location,meters,image,links
33,Venta Departamento 4 Ambientes 81m² En Parque Chacabuco / Caballito  Balcón Al Frente Todo Reciclado,US$,155000,"Avenida José María Moreno Al 800, Boedo, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_796619-MLA82100100565_012025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2001820180-venta-departamento-4-ambientes-81m-en-parque-chacabuco-caballito-balcon-al-frente-todo-reciclado-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
34,Casa En Venta Apta Credito Bancario Ubicada A 100 Mts De Pueyrredon Y 200 Mts De Gaspar Campos,US$,57000,"Constitucion 4425, José C. Paz, Bs.As. G.B.A. Norte",0,https://http2.mlstatic.com/D_NQ_NP_2X_702237-MLA81537988967_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1468204127-casa-en-venta-apta-credito-bancario-ubicada-a-100-mts-de-pueyrredon-y-200-mts-de-gaspar-campos-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
35,Departamento De 2 Ambientes Con Patio En Caballito - Venta -,US$,140000,"Av Gaona Al 1600, Caballito, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_915064-MLA79134039539_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1906179992-departamento-de-2-ambientes-con-patio-en-caballito-venta--_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
36,Departamento En Almagro,US$,149000,"Bartolome Mitre Al 4300, Almagro, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_661251-MLA82355383458_022025-E.webp,https://departamento.mercadolibre.com.ar/MLA-1478193107-departamento-en-almagro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
37,1 1/2 Ambiente Zona Guemes / Obra De Gas Terminada,US$,39500,"Falucho 1800, Mar Del Plata, Provincia De Buenos Aires, Argentina, Güemes, Mar Del Plata, Bs.As. Costa Atlántica",0,https://http2.mlstatic.com/D_NQ_NP_2X_913609-MLA83133965709_032025-E.webp,https://departamento.mercadolibre.com.ar/MLA-1674165154-1-12-ambiente-zona-guemes-obra-de-gas-terminada-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
38,Edificio - Belgrano,US$,107057,"Vuelta De Obligado 2104, Belgrano, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_720723-MLA51635350775_092022-E.webp,https://departamento.mercadolibre.com.ar/MLA-1173307602-edificio-belgrano-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
39,"Departamento Ph · En Venta · 5 Ambientes · Luminoso, Con Estilo · En Lomas Del Mirador",US$,59999,"Larrea 4100, Lomas Del Mirador, La Matanza, Bs.As. G.B.A. Oeste",0,https://http2.mlstatic.com/D_NQ_NP_2X_945694-MLA83500425352_042025-E.webp,https://inmueble.mercadolibre.com.ar/MLA-2032447542-departamento-ph-en-venta-5-ambientes-luminoso-con-estilo-en-lomas-del-mirador-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
40,Venta De Edificio Torre Del Sol En Wilde,US$,65000,"AV MITRE 5943, Wilde, Avellaneda, Bs.As. G.B.A. Sur",0,https://http2.mlstatic.com/D_NQ_NP_2X_987145-MLA78688471318_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1371721837-venta-de-edificio-torre-del-sol-en-wilde-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
41,Casa En  Serrano Y Av Del Rosario . 2 Dormitorios,US$,45000,"Serrano 5400, Rosario, Santa Fe",0,https://http2.mlstatic.com/D_NQ_NP_2X_725201-MLA79606890560_102024-E.webp,https://casa.mercadolibre.com.ar/MLA-1452872181-casa-en-serrano-y-av-del-rosario-2-dormitorios-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
42,Casa En Venta De 3 Dormitorios En Villa Allende.,US$,160000,"Casa En Venta De 3 Dormitorios En Villa Allende., Villa Allende, Córdoba",0,https://http2.mlstatic.com/D_NQ_NP_2X_933965-MLA84511548184_052025-E.webp,https://casa.mercadolibre.com.ar/MLA-1474833545-casa-en-venta-de-3-dormitorios-en-villa-allende-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
43,Departamento  Estrenar 4 Ambientes Terraza Propia Jacuzzi Parrilla,US$,169000,"Manuela Pedraza 6074, Villa Urquiza, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_664151-MLA84698682655_052025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2077350786-departamento-estrenar-4-ambientes-terraza-propia-jacuzzi-parrilla-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
44,Venta Dúplex 4 Ambientes A Estrenar En Mar Del Tuyu Calle 2 Entre 89 Y 90,US$,39500,"C. 2 8944, Mar Del Tuyú, Mar Del Tuyú, Bs.As. Costa Atlántica",0,https://http2.mlstatic.com/D_NQ_NP_2X_776402-MLA83204505306_042025-E.webp,https://casa.mercadolibre.com.ar/MLA-1974734384-venta-duplex-4-ambientes-a-estrenar-en-mar-del-tuyu-calle-2-entre-89-y-90-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
45,Venta Ph 3 Ambientes Con Cochera En Villa Luro,US$,165000,"Av. Escalada 655, Villa Luro, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_671916-MLA83520594157_042025-E.webp,https://departamento.mercadolibre.com.ar/MLA-1486962109-venta-ph-3-ambientes-con-cochera-en-villa-luro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
46,Venta Local Comercial Con Deposito En Parque Patricios Excelente Ubicacion,US$,59000,"Av Juan De Garay 2400, Parque Patricios, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_636501-MLA81614520760_012025-E.webp,https://inmueble.mercadolibre.com.ar/MLA-1470944601-venta-local-comercial-con-deposito-en-parque-patricios-excelente-ubicacion-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
